,pubmed_id
0,27575790
0,26195892
0,23613849
0,28302994
0,20070732
0,11007895
0,11007896
0,12855956
0,32993025
0,18511601
0,17360561
0,20975668
0,37166103
0,24430128
0,17476338
0,21328454
0,21703682
0,20082706
0,21943340
0,15798192
0,9808618
0,9371841
0,9520484
0,10559391
0,9553040
0,11340158
0,8816796
0,16746504
0,16417408
0,15738407
0,11904414
0,16286658
0,15772165
0,6034749
0,26310815
0,29136509
0,34603285
0,33602720
0,23183047
0,27294526
0,27565342
0,33398183
0,28790031
0,22195744
0,12832481
0,7547233
0,20392254
0,17482542
0,16510872
0,15798202
0,18285802
0,15121835
0,15371333
0,15328538
0,12639980
0,9284045
0,8755540
0,15545625
0,11309499
0,14686790
0,12537547
0,8973628
0,24076634
0,25964891
0,21742796
0,17284606
0,11313469
0,23746840
0,26084024
0,21871655
0,22264788
0,26507712
0,25929785
0,19372249
0,31356176
0,24150242
0,24858415
0,25225357
0,29666307
0,32973789
0,23999440
0,24530057
0,22966366
0,23916472
0,21924352
0,26779602
0,19073590
0,7539918
0,9840812
0,9887100
